year,administrative_workers,clerical_workers,"equipment_operators,_&_laborers",housewives,members_of_the_armed_forces,minors_(below_7_years_old),no_occupation_reported,out_of_school_youth,"prof'l,_tech'l,_&_related_workers",refugees,retirees,sales_workers,service_workers,students,workers_&_fishermen
1981,451,2475,1780,11202,858,3625,5204,0,4821,0,1718,1628,2381,10486,2238
1982,360,3992,2758,12469,504,4419,5540,0,5509,0,2056,1865,2213,10374,1894
1983,324,2796,1951,9025,96,3826,4620,0,3928,0,1327,1414,1614,9773,1787
1984,320,3131,1992,8730,57,3919,5841,0,3791,0,1022,1326,1075,8872,1475
1985,366,2972,1848,9247,36,4348,7566,0,3869,0,1103,1819,1037,9575,1483
1986,369,3394,1822,8695,32,4750,8755,0,4147,0,1399,2109,1038,11439,1389
1987,420,4605,1754,9315,73,5382,9998,0,4899,0,1691,2825,874,13409,1105
1988,678,2157,2281,9720,315,5683,8769,132,7689,1,1417,2184,956,14811,1227
1989,480,1681,2236,9929,309,5114,9407,222,6861,1,1716,2251,1028,13429,1081
1990,430,1807,2476,11520,285,5051,12684,213,7858,0,1855,2715,1331,13641,1283
1991,461,1928,3113,12248,285,4783,9656,270,7635,1,2107,2878,1965,13722,1412
1992,548,1789,2507,15076,159,4913,8303,325,7299,0,1948,3031,1755,15324,1177
1993,823,2079,2906,15850,84,4642,7370,201,7225,0,2236,2116,1724,17725,1409
1994,800,2153,2616,14800,67,4315,7802,3,6369,0,2241,2681,2436,16954,1294
1995,613,2270,2407,12863,48,4216,7199,6,5416,0,1670,2524,1230,14760,1020
1996,635,1600,2721,14549,41,4342,6701,2,6315,0,2069,2704,1026,17019,1189
1997,687,1646,2204,13377,32,3523,5798,0,5522,0,1897,2695,1103,14572,1003
1998,621,1357,1487,9545,18,2497,4828,0,3425,0,1326,1862,752,10552,739
1999,740,1339,1545,10146,357,2594,5041,0,2521,0,1706,1793,1129,10903,693
2000,791,1625,2025,11000,73,3286,6921,163,6154,0,1898,2324,964,12908,899
2001,932,1480,1695,11561,139,4060,5617,371,6932,0,2288,2291,992,12731,965
2002,890,1377,1762,12138,358,4796,6732,655,8294,0,2207,2830,1046,13656,979
2003,928,1333,1759,11418,217,4688,6865,376,7574,0,1936,2886,1139,13098,920
2004,770,1450,2198,12014,57,5880,9108,677,9540,0,2378,3426,1338,14990,1098
2005,1025,1454,1821,13477,116,5672,10466,550,9095,0,2325,3358,1850,16931,888
2006,1449,1945,2260,17701,310,6692,10447,178,12526,0,3152,3564,1192,20465,1086
2007,1708,2153,2374,17677,289,5820,11182,307,7816,0,4310,3576,1035,21151,1201
2008,1553,1979,2188,14396,226,4954,10753,299,7072,0,3322,3037,1188,18885,948
2009,2001,2451,2801,15283,247,5831,13113,380,6849,0,3821,3227,1600,20897,1217
2010,2603,2596,2889,14036,389,7162,15602,457,7932,0,3315,2950,1688,23145,1311
2011,2176,2207,2936,13918,327,6770,15589,573,8181,0,3020,2880,1899,21796,1138
2012,1954,1947,2562,13647,175,6172,17695,381,7841,0,3854,2786,2161,21507,958
2013,2195,1915,2162,13086,128,5659,17250,739,6499,0,3435,2129,2333,19792,906
2014,1905,1954,2290,13423,149,5849,18499,435,6507,0,3105,2495,2522,20698,858
2015,1789,1925,2708,13723,285,6159,21592,473,7504,0,3576,2807,2639,26667,1151
2016,1554,1878,2494,13357,214,5788,21374,1466,6781,0,2895,3018,2754,24749,1032
2017,1258,1453,2342,11400,190,4555,20001,564,5074,0,2322,2287,3501,23912,920
2018,1211,1370,1819,11310,220,4258,19096,443,5029,0,2536,2383,2892,20363,789
2019,1249,1385,1597,9326,259,3687,16921,515,5209,0,2736,2366,2921,16403,590
2020,282,356,405,2918,54,848,3618,126,1240,0,592,498,664,3966,136
2021,261,251,246,2298,31,1219,4361,79,1588,0,279,488,335,4959,110
2022,859,779,1506,5369,127,2420,9911,163,5817,0,1168,1404,1105,9772,384
