year,14 - Below,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - Above
1981,9588,4712,5846,5919,4048,2445,1799,1543,2142,2955,3068,2653,2149
1982,9100,4650,5956,6643,5357,3488,2760,2145,2402,2985,3223,2630,2614
1983,8433,4498,5164,5323,3659,2409,1678,1437,1679,2364,2461,1737,1639
1984,8199,4359,5035,5348,3956,2695,1703,1586,1601,2007,2109,1497,1456
1985,9154,4822,5196,5489,4264,2845,1665,1613,1800,2344,2458,1809,1810
1986,10524,5520,5512,5809,4836,3179,1855,1590,1840,2339,2576,1867,1891
1987,12407,5941,5733,6946,6359,4069,2334,1742,1943,2436,2554,1990,1896
1988,13271,6237,5440,6899,6561,4379,2770,1981,1970,2384,2389,1848,1867
1989,12207,5620,5735,7076,6731,4265,2746,1897,1973,2095,2022,1602,1762
1990,12053,5954,7582,8810,7546,4503,3018,2006,2308,2542,2601,2042,2176
1991,11634,6235,7813,8579,6855,4242,2942,2083,2260,2534,2867,2207,2212
1992,12708,7347,8014,8375,6908,4608,3027,2156,2210,2477,2501,1967,1856
1993,13119,7141,7563,8332,6967,4878,3373,2361,2406,2759,2996,2294,2201
1994,12462,6904,6707,8376,6911,4783,3164,2477,2347,2909,3079,2457,1955
1995,11372,6158,5826,7987,6463,3923,2715,2197,2012,2420,2222,1591,1356
1996,12162,7507,5977,7359,5999,4107,3161,2866,2566,2928,2672,1971,1638
1997,10172,6444,5190,6542,5192,3527,2714,2737,2607,2885,2664,1861,1524
1998,7208,4692,4283,5022,4202,2816,1990,1780,1707,1654,1506,1139,1010
1999,7288,4678,4849,5513,4531,2989,1907,1654,1633,1576,1596,1219,1074
2000,9132,5194,5123,7056,6434,4527,2971,2201,2052,1891,1824,1478,1136
2001,10091,5070,5432,6877,6665,4381,2726,1809,1874,1787,2277,1499,1566
2002,11970,5503,5568,7806,7238,4650,3136,2402,2052,1918,2006,1783,1683
2003,12017,5107,5483,6822,7023,4430,3045,2431,2172,1981,1814,1489,1323
2004,13793,6048,6499,7748,8298,5337,3630,2843,2510,2472,2154,1825,1767
2005,15057,6404,7122,8309,8508,6093,4116,3126,2455,2392,2074,1732,1640
2006,17919,7169,9267,10524,10383,7521,4734,3390,2701,2618,2351,2090,2300
2007,17011,8036,8484,9404,8233,6669,4792,3443,2844,3013,3163,2699,2808
2008,15420,7516,7443,8019,7084,5826,4337,3266,2718,2615,2708,1918,1861
2009,17706,8246,7907,8423,8022,6544,4938,3666,3128,3273,3163,2304,2340
2010,20864,8683,8388,8218,9179,7682,5754,4337,3433,3005,2803,1803,1822
2011,19891,8346,8365,8629,8952,7352,5657,4015,3136,2785,2711,1843,1713
2012,18887,8493,8898,8847,8867,7095,5274,3749,2961,2976,3160,2263,2170
2013,17170,8309,8029,8060,8546,6677,4990,3342,2979,3159,2804,2184,1978
2014,18014,8401,8396,8790,9284,7323,5159,3534,3081,2870,2496,1786,1555
2015,21581,11102,8902,9178,10238,8700,5901,4248,3291,3182,2710,2061,1902
2016,20430,10500,8127,9134,10579,8821,5795,4204,3215,2717,2345,1809,1677
2017,18741,9319,7216,7957,9690,8179,5364,3597,2739,2399,1871,1393,1309
2018,15820,8233,6673,7809,9276,7223,4827,3346,2639,2530,2172,1585,1516
2019,13323,6454,5791,7592,9108,6790,4428,2949,2278,2071,1757,1384,1233
2020,3109,1512,1394,2180,2360,1741,1110,602,446,425,337,261,217
2021,3675,2028,1754,2006,2534,1805,996,586,355,291,217,139,116
2022,7661,3456,3486,4835,6612,5357,3189,1837,1279,1006,786,563,489
