year,college_graduate,college_level,elementary_graduate,elementary_level,high_school_graduate,high_school_level,no_formal_education,non-formal_education,not_reported_/_no_response,not_of_schooling_age,post_graduate,post_graduate_level,vocational_graduate,vocational_level
1988,15614,8451,3012,8847,5724,7291,459,0,0,5514,327,527,1415,839
1989,14776,8533,2721,7899,5625,6967,1254,0,5,4792,380,544,1433,816
1990,16396,9848,3241,8370,6854,8198,1208,0,0,4999,415,647,1858,1115
1991,15835,9724,3572,8070,7525,8017,1028,0,16,4342,450,595,2066,1224
1992,15690,10037,3144,8766,7627,8650,677,0,0,4729,494,482,2662,1196
1993,16133,10064,3304,9375,8139,8713,670,0,68,4361,726,841,2766,1230
1994,15810,9841,3356,8727,8147,8447,647,0,91,4330,720,795,2498,1122
1995,13439,8843,2579,7433,7302,7546,427,0,129,4081,555,708,2132,1068
1996,13877,9996,2868,8265,7891,8546,453,0,0,4204,739,757,2263,1054
1997,12803,8991,2614,7209,6873,7517,413,0,0,3443,641,734,1907,914
1998,9212,6607,1833,4730,5589,5231,234,0,4,2457,410,483,1556,663
1999,9992,6859,1835,4802,5634,5256,318,0,0,2476,379,463,1804,689
2000,13619,8069,1864,6308,6398,6475,331,23,9,3175,518,1088,2300,854
2001,14785,7566,2136,6393,6065,6205,428,56,37,3820,730,963,2126,744
2002,17424,8181,2283,6938,6378,6731,581,153,48,4191,793,791,2383,845
2003,16354,8340,2107,6344,5986,6193,240,143,21,4373,954,1090,2175,817
2004,18936,9817,2191,7659,6937,7225,182,198,36,5541,1294,1339,2560,1009
2005,20561,10357,2212,8461,7438,7569,126,293,42,5363,1567,1354,2737,948
2006,24911,12489,2496,10278,9176,8905,147,303,11,6374,1747,1659,3370,1101
2007,21759,13328,2698,10372,9361,9493,157,297,9,5445,1534,1215,3774,1157
2008,19264,11852,2314,8907,8251,8216,105,31,16,4842,1564,1100,3368,970
2009,21794,13668,2395,9986,8702,9218,92,46,92,5813,1476,1071,4092,1273
2010,24834,14365,2194,10969,8299,9428,83,17,96,7061,1586,1188,4534,1421
2011,24193,13809,2152,10359,8401,9260,64,13,113,6658,1484,1010,4531,1363
2012,24183,14169,2424,10089,8707,9303,61,4,97,6174,1644,1063,4308,1414
2013,22841,13472,2066,9129,8444,8779,69,8,178,5661,1328,943,4062,1248
2014,24266,13913,1980,9225,8422,8665,95,0,147,5842,1330,931,4468,1405
2015,27520,16699,2399,11272,9473,10722,37,6,165,6162,1472,954,4530,1587
2016,27162,15911,2131,10943,8912,10705,26,0,97,5999,1358,689,4154,1267
2017,24063,12994,1861,9876,7893,11060,116,26,143,5239,1116,587,3614,1191
2018,23203,11089,1739,8235,8079,10222,125,113,195,4690,1097,586,3271,1075
2019,21875,9300,1464,6821,7620,8257,110,70,151,4120,1015,521,2826,1014
2020,5311,2383,256,1589,1900,1949,17,57,25,950,258,110,664,234
2021,5534,2299,361,1639,2069,2186,12,39,91,1236,249,107,575,108
2022,14906,5850,635,3583,5067,4436,43,756,142,2522,689,341,1416,398
